"Id","category","white","red","black","pink","beige","blue","grey","purple","yellow","brown","check","stripe","skirt","pants","shorts"
"b3","[‘beige', 'shorts’]",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"b4","[‘black', 'skirt’]",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"b5","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b6","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b7","[‘blue', 'skirt’]",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"b8","[‘check', 'shorts’]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"b9","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b10","[‘blue', 'shorts’]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"b12","[‘beige', 'pants’]",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"b15","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b16","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b17","[‘stripe', 'shorts’]",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"b18","[‘blue', 'shorts’]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"b19","[‘pink', 'pants’]",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"b20","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b21","[‘black', 'pants’]",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"b22","[‘white', 'skirt’]",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"b23","[‘black', 'pants’]",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"b24","[‘pink', 'pants’]",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"b25","[‘red', 'pants’]",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"b26","[‘beige', 'skirt’]",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"b27","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b28","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b29","[‘black', 'pants’]",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"b30","[‘purple', 'pants’]",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"b31","[‘check', 'skirt’]",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"b32","[‘check', 'skirt’]",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"b33","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b34","[‘black', 'pants’]",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"b35","[‘black', 'pants’]",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"b36","[‘pink', 'shorts’]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"b37","[‘grey', 'shorts’]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"b38","[‘beige', 'pants’]",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"b39","[‘red', 'pants’]",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"b40","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b41","[‘grey', 'shorts’]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"b42","[‘red', 'shorts’]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"b43","[‘blue', 'shorts’]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"b44","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b45","[‘blue', 'shorts’]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"b46","[‘white', 'pants’]",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"b47","[‘white', 'shorts’]",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"b49","[‘blue', 'shorts’]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"b50","[‘grey', 'skirt’]",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"b52","[‘check', 'pants’]",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"b53","[‘red', 'shorts’]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"b54","[‘red', 'shorts’]",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"b55","[‘blue', 'shorts’]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"b56","[‘blue', 'shorts’]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"b57","[‘blue', 'shorts’]",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"b59","[‘blue', 'pants’]",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"b61","[‘grey', 'shorts’]",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
